이름,가격,링크
삼성 갤럭시S10+ 512G SM-G975 미개통 미사용 새제품 공기계,"465,500원",https://cr.shopping.naver.com/adcr.nhn?x=ad46AcU9x3ejQsHvCLrIiv%2F%2F%2Fw%3D%3DsM5fnJWRaBsNWlqXIaAk6mSsAxghnLP6AF9nkCyoVsImW1lN%2FrePuoCGjaDOC4zAfU%2BY171eQZMmOagqLATh6wE4N5BFJqWUUQlGT%2B6waLGhT3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7smscUZuB%2FB3GA4tAdwd4kJn0E%2B7lsL8Xc%2FJzL4VwihdJuqylBYIjr5gwctU9Q%2FpLMeZUpSkoDMM7rSrpq2dCzurCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPDYSaiwtcWx8k2vqVeMmRDfDdoRcHmx5TOkpNLQ0%2FS%2Fcf5S5ycDGuwbfEdv1A6kKwpsQYdK3vpmnMup8v5qH79JmorrwWRLY6h6kDkIrstipORK0MbM%2BTrPMrkgAiCmkWFLHVt9z71C7tkOSOs6hxPaVCteSJs0R06EJZTpjbs4r2I5gRBc%2FcDGBICbp0PVh9bihNvSwCfnRj6Yx8Xc3%2FUmlkX647Zdjjw9%2Br5Mcvp%2BaNb5H1%2B9OxZumr7xczBQhiaOuBZD%2FQkGyMe53inOjnLVPh6vWuqiRjd4Gzj6mbK25BZXkDwpPqdtUekTF%2Frr8pVgqB2fLZnLqbfK0v87FQvtXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=86269746765&catId=50001519
"삼성 갤럭시 S10E 공기계 SM-G970N(128GB)휴대폰,알뜰폰, 자급제","175,000원",https://cr.shopping.naver.com/adcr.nhn?x=%2FK%2FY8rjtQkluUj8A4NIxOf%2F%2F%2Fw%3D%3DsfFJegSaFAvTDVAa%2BjxU4YMMhzM8fnYgJZIEJF6qWh5aW1lN%2FrePuoCGjaDOC4zAfF5VbltpdmgXDoQ4tR2vlVN7SLBx5j%2FH66aiHk3vzuN9T3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7uvO%2FNkgoZhttO2eQuQO0n1wAZkqH9n7Phhue9qbBfjlNO4DzBOSUWX6A1sqpViOqzJ0JSt9bzge1OsfvSm9CdZ4LJ%2Ffi5i%2BNS7%2BLXTrvyABi1BB33O7OReIl1azRmSOFFr6hvPlORZvyZD029UaOGr8uiZ5iy7SD6RmHIZ1xxODqEhwcuOHETKqEAWOS2qy%2BT5PVgo6r5XhQpZ%2BW5LldjLffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeELSG3YfGCvTB8fiUZEu92kITx2M5DDcpAWB5f0u%2Buc3XDWTeRReOiaoO3w1jY%2BQmgClb9ib%2FEGuVdb%2FLQpt%2FyCOt675C%2B%2BZLVIbRtCphMSp7bKmeQOkwWP85Jb9N3%2FwVedJK5k6qIDKr%2FmldulgTjSVJbw2QVyZQz9SyTk1TBvt8ZfQ%2FOdBvVRdfygcUlPU91TY4%2FJdn2BeWZ68OwUUvZvH0GL%2F9bv0WFF7TZI8XG4fcU8oPHbaPzMyu4rvDeRZamtY0vFGtYcImi51jMcKK8ZL8a%2BBZPGCJI1FUBgwZws4nFw9112SQcelveTLL0vEPVrJefoOJbmkO4BD9YMbmM0NUJgJp6CUXauCvW7Y5AjN&nvMid=29608271110&catId=50000249
갤럭시S10 5G 실버 256G (G050159629),"244,000원",https://cr.shopping.naver.com/adcr.nhn?x=1g9Am%2F8Itxxv3k3kUpruzP%2F%2F%2Fw%3D%3DsdEGWRSD6XFPZSaIE%2FpAIpisHpx8MLdBrSq63z4JL2g1LNxXzQCzkIEnu1hmGhT97TaySrw02uBmZUQzmcbQajt1PUSmdZKpsArmn8OcN7evHODgExG1S49cG2i8U9195r2fETgtXCV9IJi8dH7fB2tlvoX01r2E%2B%2B3It2bCU0NO5gGx9USfAb3lE5js6K3ZIYSCDyX5T22kmavhfd7uoHDqZTdCJGQZMykNgH0bquIN0c9hvI2AGM%2F%2BiYd76N2ggUDsWmBA2k9o%2F5OgDQCtJTD6BiyiigsSaZqaREDJ%2BjZNCvu%2Fl1%2BEhDuhXdVwEMt6Rh4f4SJYSGx7Lg5dBPXHG1gwFRxMVHmCf1DyU8eXEalRVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRvwaGe1PB%2BO4AbGMBsKZguojpCjLYrO1%2BfjybPF%2BE7AXVvX82Y5Ils9cLeBDu1LyZB93uEjTRi9gCzn4rMe9hmZrp%2BWgLGvZiZkHmgOfnw6DoTLYNbyDKSboyhAcC2ryhnq%2Bf%2FdocnV1qJcJnbrCFbDcyJorgktZIKtC5KsyLCuPyTFfnGs3itdxi8eIOPsXhzpj3mN8NTG74vWKk4YXustHZlVYLDEJpnI8cF6CMPSIWNxF1rJgiztOXXefTEj8NBgCIcbER78z3NNqvZAma%2Bz2FbDf4gHI5rSMJU1BWcIOg&nvMid=44332862872&catId=50001519
[갤럭시] 삼성전자 갤럭시 S10 플러스 공기계 G975,"169,000원",https://cr.shopping.naver.com/adcr.nhn?x=Cng%2BLCR7YdGi9qnRVQ%2FW6v%2F%2F%2Fw%3D%3DsCFcU%2F8QLOTkL7CN5%2FhHhPg9mFUl5A%2B9QXvMyE6YUQuWW1lN%2FrePuoCGjaDOC4zAf6loZzjP7GO67Ock420MS6s%2BB6dPA9ypXpuNCGxqBsTFT3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7sKnf8MCTviy2wcatzF5dszCZpBTdrt3bWAArRPnKowazZztvLlYniS7XwRevxknW68Ry4vrNZWjH8FLVpHfbiU1Ub5wTBhoPMy38MciVWKfRlA7AtSzHy0fIZ1DoJirj8orOcpyyHzin%2Bc5GJ50zUaJ%2BHvwPYsaKPwschiNg3a0EIZJB1yuP5kkcuYnGBP9uwVt%2Bq%2BEGbIURH4Pt76u0TaZSUodO78rNHvp7YSqEBC4aJzKlJxDwH98Bda84B%2BVjY5ZJZhVENEwYl7VhveXd58kv1mcJivi6reddbdGeireM5OEUAXpQcymTGPx2eExY9MOVS7YO02opZDIHlNoftX5XE4yjw7LPpeZwj9lYy3LWq%2BYDoMVuZ1LXLnVaBgq3mgmUpxwtyagHjwO7IW0GYEEUSzrnP7qS7e1sQyddBEvLpdVxCJ4xjcAH8EAow4Gls9rD6vHd6KPSgqWqXf0u0TL07boOLwoxL6IajskM%2BfZ%2B%2Bw%2BjC4AkmTw%2BxeH2kZC9gc8x8iuGAAjMqa4W3%2B%2FHp3Njqh%2FZemCCOboDhnweAmG&nvMid=40751799113&catId=50000249
삼성 갤럭시 S10 플러스 공기계 128GB,"210,000원",https://cr.shopping.naver.com/adcr.nhn?x=SUjfDVmJXoft%2BkWzbJdl5f%2F%2F%2Fw%3D%3DsAhCRVg1tOp6fsh%2Br%2F49iKOdquFMZ7VkefGu6ZiODk1gBxBRNvFhvy7mgrVLbbbiTwla0k4%2FjeaNjFglOYiQD4GoAvI3KW%2FhU9Sjnqjt%2FYAmZA8z76lPqEWMkxz9Qd9l3zjqndUs78bm9DwanKptPQ2to9Hg73HbAIItcVXxE0vc1JlZHfES505%2F%2Fvugbi%2Fndtt43v2J5H9IRoYVbmIdwYIypvJ%2Fu4%2FnalRVrasRwJqF%2BRAwTUYS4ncrU25SXR55Z5BCS2v%2BBaKUS0XY1oyD%2F7T9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6o%2FeNH34wk9Ag%2BTcUlA1KdQ7V9insHYBd8hFTcEBQc4Z8d6VOjH%2FOGG%2FcoW3fWzZzdz%2FgTVSF5IO1Hb7O3TO0azO67IJAsoYq5erIMQJLdlXq%2F63zY%2BPfHteM6RaNDEi3japz%2BNFG46od%2FNmJZrGFLiPZ0jJZXZEG8UA5kbLoMTLf%2BrS5PZLo03AzjRKkm%2BxSzE2qxnBXMfCNjAgrZC0tNsKR3YKlD9qGAl6gX9HvZO5kW%2FvCyxl9%2Bd4hytooSUVoagnU%2F8xPZvpkucrAbe1CXFaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=36758347679&catId=50000249
갤럭시S 갤럭시 S10 플러스 512GB S등급,"330,000원",https://cr.shopping.naver.com/adcr.nhn?x=34GlHjEYxhQTX7oRpIUH1v%2F%2F%2Fw%3D%3DsdpDcRydNyRzIneswgGJd0AcF1Zoc%2FYarM983hVfieXeW1lN%2FrePuoCGjaDOC4zAfdyYvRoE2iFsxmyd09qQCNxqJ%2FdGjGYiOn0jrdhm%2BlE9T3%2BYea8CtW8UdKOUr6ku6UccPdZlxt4XAKQKLLt1RcwjbH%2B7sNgzVdawuhA2rgiFocCRGEWD8W%2BMUDH2rQjhp0uer%2BpMXWV%2FeqhIPjSZsdXXjKaNZVeHJEOea3Oh%2FSPUMBUcTFR5gn9Q8lPHlxGpUVV3pn6Znl%2B9MAtsEE%2BZ8ouacYsA2T1ONC2M4R1%2F3Eb9F7aEaqJiBX%2FzbzBujMzjdag6Is5lOxS5TSwEA1PQzi2GMkKJgDgkcL2l7%2BAVNd7%2BiB1ALwCh2%2B4i02QzM5wP%2BwmVJqlGnA5%2BrleX0lP4RLICTr5ty3Tb4CYYmizbPZdSfPWiqZ4%2BaXzna%2B4%2FCegBwWdq50Xj7R92Q7DXeaSYnhUxZYy4%2BatEMhhqqiTJk65QQhbI4S4LZIUPqfXbGUCCP05%2FiL3MWsFcTbnjz%2FZLXrbsatGgyr0kA6Jkj3zajH9wdlfMY2TTeJAIgUKm9bZYdl2uuiTBR0GMQDuw9G%2Bgn2UHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=43393051753&catId=50001519
삼성전자 삼성 갤럭시S10+ 512G SM-G975 미개통 새제품 공기계,"499,230원",https://cr.shopping.naver.com/adcr.nhn?x=JylnFX3c16x2rJ9FdHgsYv%2F%2F%2Fw%3D%3Ds4IPu33vLS0xHP%2BkcJkm4sRZxS%2F9DYLsxdhmmBgYEsiwBxBRNvFhvy7mgrVLbbbiTLet9v64MhRB5eUaL7S3YuAOPZKz1uBR3Agr7Apb9lO6ZA8z76lPqEWMkxz9Qd9l3zjqndUs78bm9DwanKptPQ%2FOpPHAAXoCUftUko9nv9KGSfzoBgshimPVVTZ9R5tE2c6qX4z9my8OvjniMlPor6DhycW0VuSP%2BlWjPVpTqtLJ0eUTtw1%2FHDRt1VBL%2BeiBRf2vmIC7xIWQei%2BJrtUVT7GnxtV23sCvbm1XBAfSpA%2Fmy1Buu0wydVXAglKw1k%2BpI9xmTuY7AWuqxPjfhfa%2BR%2B5pJoFZWNI2yKANI85NeZBak6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdOVDIo341JGymW3CiraorcZuC%2FR0AErOT6%2Bh28qhDv82H%2FU%2FRs2RONfDDKvEvB6Nn6Vz%2BNA1rIrIomuzwYyTq9ADeqEwReF0buq5Z3l2WBfBlA4ECMcvlOgs0fLlmlENek4xBRjpwZdLgZ9NIs%2BXXqqGcGmMlMk7GsLv7tXMkjtd%2Ff8Zh3BCNEt6BkpSd2l%2F5nJKjOo%2FCJYNFPcu0KrccyDTGhjAdrab%2BiGGSi5jWJijUwTuzFKT0doWgcHUHLqctSmEzheSrB6vooBgHNaQHmeMdueBgZEYNumX9ApQphSirmyTq9BNgdHl3yrFc2%2Bu4uJRbop3qwiRpBGcEs0hK6IGruH08DlKshetxY8KUEZb&nvMid=44676331920&catId=50000249
갤럭시 S10플러스 공기계,"225,000원",https://cr.shopping.naver.com/adcr.nhn?x=VU8oxkxkNnhSViJwFq0%2Fvf%2F%2F%2Fw%3D%3Dsk52rOPTjg3cwssKbbXjDwI5iPqjXfPEOwGQrKYU4o11LNxXzQCzkIEnu1hmGhT97dcf6woQpb5EzdlV7WvyImd1PUSmdZKpsArmn8OcN7evHODgExG1S49cG2i8U9195Sy7FzuxGbVsziTxjE5sSJMdGH5KCyVnB8U4SStFY7E%2BvTLzzdgu0YMXaHxkkqXw7BS6DXGlqXXvFOmw%2BEQ4qOZU1UcG9YcRHH1H54GZT6HoXuHuZfjnh%2BZtCKaLMO%2BcFyc9uKfCopxI8wMEQ2kNr4eXCuTyphDLRqZ8nysmnunmnYSmhsG6%2BJKZGRZux5sVqumu5MYNf82adD%2BYNiroM45zHu6uGrDFvMDwr9PMQLBWYV%2BzWdJxPbzz8w3nah3e8HUj6srMhQ3yKS4PgkYQxM7ngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADI%2BHJ7%2Fv8FA8utnhHTPf6z2V2tT2AG9M5jxdXEaCkbHF3IOS%2BaMynbuvlAc5zehb6%2B5lmMfIK4P7of%2FWDX2guJz1Jb845a8pSlDcCcWZOycShGtQAGp5yD3qdqOi81hKQikySKek53s9GBalOj58nphdtclqe716GNR8sSvyvFpvgXC3fzTW44rjGA%2FSDDt%2FWxa1jS8Ua1hwiaLnWMxworxiz4GUtgoncHudqABKSfZnasicYPh8MkM2JbPulnRbs9nLywBF6TPdyrHi5pSyQkVg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=43270422228&catId=50000249
[베락스]P047 갤럭시S10 5G 스탠딩 폴더 가죽 케이스,"12,640원",https://cr.shopping.naver.com/adcr.nhn?x=B7QtY%2FmwKk1W%2BfL99mSX9v%2F%2F%2Fw%3D%3DsC5Modkkrn9tBsQatww8BWSzC2X1Pk%2FPBA11eq1aLpnkBxBRNvFhvy7mgrVLbbbiTNN06EzctH5rQRC8HamtQLq6rXzZW%2BnpbzvtuOM1quxiZA8z76lPqEWMkxz9Qd9l3zjqndUs78bm9DwanKptPQ5rxH%2Ffz%2Bwvvbdw%2BY3xzfshyXQbDdU2ZfqXlKIJRxSW4XCo4UcEKB%2BdUMK1xPZgDGqBg2SnV8V5iPo7H15pVMhTZdkX4zM9Bc66ykKSQRRCob3hHCkWQKKQSU30w9S9RKOsKsWDip1zDLfEQWZEWkuufy7hjyrLa8G%2BX5%2Bhb232sifh78D2LGij8LHIYjYN2tBCGSQdcrj%2BZJHLmJxgT%2FbsFbfqvhBmyFER%2BD7e%2BrtE26nW4pb09OWz4bFOYEfQuFEjcwC2LXw0LntuAQLUu%2BgsBDCqYKV%2BJYKSpoXyAgLzmgi7oFMU9fbldqsXGSv9OPEIcYGanoAsQI83xBhxYUbGUDOeEdGp4y7V0OX8zEadrxyrUeLxh2JuaHi60mV9MhcfZsw1lB5NzVUH15ZJ5ZF2tsMdcm6eqOBu%2BUR72q9ie0OyheEmmL6TdC9eRnAzKPoSbkccdNKaljkacPow9v7Z0fSDbPWacYjnpFef5GzFxp9DH%2Fq68YOyA4FwK6RCqvXXblA7G%2F1Fa5RaDVSK58eMDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=42189207683&catId=50001519
삼성 갤럭시 S10 5G 공기계 LTE 사용가능 512GB-갤럭시S10 5G 512GB,"260,000원",https://cr.shopping.naver.com/adcr.nhn?x=9ohs2kAqJkMdx%2BBiJbsH8v%2F%2F%2Fw%3D%3DsyuWdjVNsRfIVxEkBM1zI1BRMQckguuizxGDJJrHby5uW1lN%2FrePuoCGjaDOC4zAfkbdqXcq5xbpYh%2BBTKVq5rT3PbjKDNVozraNm6uWOM2NT3%2BYea8CtW8UdKOUr6ku6UccPdZlxt4XAKQKLLt1Rc1NVcI%2F18ppt353%2FqRWzEBPXkj%2BZW%2F1lJfgqvRvZaBhR%2B9qa4v9N6J25cIKWQGt0jHmxFPcbmOe8ffGom5oKfF7O2%2FlTx56qONFDaQrQyi2g7uzJOeG26G33pddLXlGKUx1I%2BrKzIUN8ikuD4JGEMTO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyB0HvEZ%2FTpi8anpTng5DwT2vGfcWCgHnl7rBsTIEcSdEjOQmzed5ukLkMOKNbs9JtpDI31WmEdZy63H4UCIywvwzuuyCQLKGKuXqyDECS3ZVQolv5xJ5yHOhto4G1kiDjTMHA7Az1gRf1WEMZzCRC7uRsJJzybrPkACk89MVAQYiwRVnvCuZiOXoP5ZEioZeGX3q%2B2QSOPTOsGL29gxFLHSwvqM5Eg5fgbWfzs8rTPndRpzj%2B%2B48KwrE8R8qTrT5L8KR3YKlD9qGAl6gX9HvZO5Ss7yu9xFee2PxZqJ0w%2BnwEdmtz%2FJBxPNwXiV5NQ59w1aFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=36561206762&catId=50000249
[갤럭시] 갤럭시 S10 플러스 512GB 공기계 SM-G975N,"448,000원",https://cr.shopping.naver.com/adcr.nhn?x=jMuutPh5DPSARAinBqL9lf%2F%2F%2Fw%3D%3DswGGtgsV16FHvWYRlfdd9gYwVVauyLdWtUX6YAYvT%2Bk2W1lN%2FrePuoCGjaDOC4zAf9khwr3a32dQHQTDT7SjpoRnjKVn319y73ibgYFZhnuRT3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7sKnf8MCTviy2wcatzF5dszCZpBTdrt3bWAArRPnKowazZztvLlYniS7XwRevxknW68Ry4vrNZWjH8FLVpHfbiUEoqUa%2Fx7eVSkLIeWa569pRlA7AtSzHy0fIZ1DoJirj8orOcpyyHzin%2Bc5GJ50zUaJ%2BHvwPYsaKPwschiNg3a0EIZJB1yuP5kkcuYnGBP9uwVt%2Bq%2BEGbIURH4Pt76u0TYuBFEhkeqcNrvJ4WjmoExoaJzKlJxDwH98Bda84B%2BVjaMSM1rWuw%2FZ5781TfjAzdRbkJV6kDEVrmSO9KbjqVwkM5OEUAXpQcymTGPx2eExY5HyxQ%2BLBEQwEJYLDOb6tPTKEQtrPvbxAaIbJUkWIN5aj8GVPz4d7FzT89rsUt9Rfpae7%2BuhPSFic6QI4ySENmpgAK9jMe5nGw9p9bNtwBSxaakm8rjiPQcGpVEunzreh%2Bva2c4N7ritvu5IsEBOacvZlVYLDEJpnI8cF6CMPSIW30wFOYWlOWN56txTnL0lhM7fp3GOtG87G%2F5i38z8QqaFbDf4gHI5rSMJU1BWcIOg&nvMid=44801464321&catId=50000249
갤럭시S10 핸드폰 렌탈 임대폰 휴대폰 대여,"4,500원",https://cr.shopping.naver.com/adcr.nhn?x=DfBvq0J%2Fi3XfUFwbeYa0AP%2F%2F%2Fw%3D%3DsUTcljSeM7efbzLDCpDX9tQSvgATfunT4o%2BSfijXgv4SW1lN%2FrePuoCGjaDOC4zAfM0cypDyVsSzHkDLZ85fjA8%2BB6dPA9ypXpuNCGxqBsTFT3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7lee3dbdrQKrCppn2EF6SZhStDzQOj6%2F4jQxxy8%2BTsNOkOcBtf2DNElorMlxGLr%2F7fszRZDuukQnfLZxC6ws633SwT%2BRKzZS3y4yen8fFmkN10YUr0jV9LGWxjitR09NXvq0gPRDGPJM5VfVlFHp1CiRSpMO%2B9P5mn0XASg8RbEg%2FkFO37x5ogfEcU1GPQa3uR1I%2BrKzIUN8ikuD4JGEMTO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyDLDLAcOXs%2FxFBCxkqUcfQDAOfMZqZfVqm%2Bw4aLF2DYoH%2FU%2FRs2RONfDDKvEvB6Nn38HOkMs3IE3rETHK9c024dDxiD%2Bd3ZmlrlV3L9%2BtKMX3gVBxU3Jr%2Foz%2FVX%2B%2BhgWaz%2BvZipZOyiaOSBI0dk8Jek143Rofs88S5CcnwymoMt4zJGE8QxdDO94UYRj%2B%2B2978noS%2FMoTzePCx0vH5PHUrwphM4Xkqwer6KAYBzWkB5nNRz%2F1p7y%2F7BkKr1T4lvKTQ8lP2vY36FhWqEqBV%2BdbarL7H5x7kc13SEqioNl2IZaBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=32666530771&catId=50000249
삼성 갤럭시 S10E 128G 공기계 -갤럭시S10 5G 256GB,"235,000원",https://cr.shopping.naver.com/adcr.nhn?x=gAqrN1S3LmLyCQFr30SOOf%2F%2F%2Fw%3D%3DsOIPmrgQBogspKu2%2BN6RpDx1jci%2BRWqeM5fdEibQ%2FLAqW1lN%2FrePuoCGjaDOC4zAfetmsD3Nu4H4DvHBH%2F9gvnBnjKVn319y73ibgYFZhnuRT3%2BYea8CtW8UdKOUr6ku6UccPdZlxt4XAKQKLLt1Rc1NVcI%2F18ppt353%2FqRWzEBPXkj%2BZW%2F1lJfgqvRvZaBhR0k9lNNCjfgQvIoOXRHbOoyN2EDMPwQiISpH2tBqDxMbcqa52yjm32f%2FHXYPTLHcU7uzJOeG26G33pddLXlGKUx1I%2BrKzIUN8ikuD4JGEMTO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyG7oi%2FvbwZhJbhl3qojdpH6vGfcWCgHnl7rBsTIEcSdEQdSqR8NkBJ2zvHClaqqF06ERnWrJt9Eh2SltGUYjcqozuuyCQLKGKuXqyDECS3ZVVC%2Bd%2Bd5Qu3QPu%2B57K2tVUrXkphDvj3kxKSigMXw7V7yXgTuWpo2X0GfHTTzP6MtjEj4m3ft4rxoD%2FcNufYBfOD0dVW20SZeleuOWWKeaasgEpF1b2tXqSciKfd8uyJMOfAl5dudTqZlos35c9ihFnAJ9aalRJSrNKKkP5gMsVtUWLw6ryn56tMC0NaWiUvoExyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=44145315527&catId=50000249
갤럭시s10 5G 공기계,"144,000원",https://cr.shopping.naver.com/adcr.nhn?x=N3VGbOW4NHfbTv2hinzLG%2F%2F%2F%2Fw%3D%3DsvygAvK%2Bfz1qkvN5cmlT2d81Yj9ztwlI7yWN5nYMhshKW1lN%2FrePuoCGjaDOC4zAfPcYk0MNBN0zs79ej9ngsd%2F9zkO0hTbqsqO80aZG%2BiQ1T3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7i%2BYxcAxQnoCnUx3jjIiOILcAdZDhcUNQhYf4Z7nu%2FXG16jkJuvIqZkI8jPbs1Xkqwsx07kJPYLoW0IFvpBBxCwKwBr%2BcD%2BwZq6l2w%2BcwwTxgaqpx7O6lXqV73Ky8zb44r0T64VR%2BYLZkHLGS6gcCm7Bz7%2BORHa%2BX777%2F5U82WuFJ77Bae5auL6t2KVpgkjqwJRYSqbVxSOKiB%2BvE3yB38NdrU9gBvTOY8XVxGgpGxxd0xXY72WP%2BUbL3jguvyatwIZhtoKksleT4yKfc1lCbaBSW%2FOOWvKUpQ3AnFmTsnEoHGwF%2BvQMf1X3U3ABath9%2FL9exKLsWP%2B11SzOWp6oVxlopYvBKdbgCfvQmCJxl540mPeY3w1Mbvi9YqThhe6y0dmVVgsMQmmcjxwXoIw9IhY2%2Biw9JGnbvoIwSZuEXXSfSc4zAxBW2A%2BzVK%2B%2BCCQv7g4SwcLvxUEucVmH%2BcOht40%3D&nvMid=43028597784&catId=50000249
삼성 갤럭시 S10 자급제 128GB 공기계 SM-G973,"300,200원",https://cr.shopping.naver.com/adcr.nhn?x=MG6qwGB%2BDvvDbFILFdyTyP%2F%2F%2Fw%3D%3DsIuRdPeJmXRdQoI8PmaWX%2FYdwGVjA8BAipn2VXxHGbYwcB4iVl8G63c0io3DmMA0l3QmPsqGUsU7TYMo7zGKDcBS0iToZaEPc4jLFWD71oiSbkT70zPWRDdl58xqz0EbJyQ5ZaQClRptC6GXYMX5r8mm2qNT9s19RcV%2FLq0sLCrnfTQ7OluPKkCCzLsv5A5WbXTun50kARUsanlCLZDzSbbWyv4Fyf1oMpkT1CumPnRkuldXLQ%2BqS1eb5sSj5WNKpIOlbMsuKyCmuFzgBcKIaTWhClBENmk927HICI6BGv7BxAUuG8VoVhP7AA9D9PzSwjebnPGYZNtjS3V%2F1ykW8O%2FziKuqi6lvlwe2gIVAf2UAlXTdy6Sn%2F2yromYu89VyU2Iu1HlILB0wvn7CY6o1m9GcK8lQTaiT80OkujypaB7FXfqiCwBtPYYwEdSt6i2JAK3mtCENQRVkqxFqJ7MuITqWvC%2BMN8kf7xJAMVw3Pi%2BwP4ynsJ2i9P39j3hIScwyZJnrTYmvmEBYaGyh3glggdLR6Z2nEPfYNLPvvN9EQwqlktC5GkQlXvLeTs%2B%2FSIVVs%2BGy18gywdNW3bW%2FQEE7dXA1KUwhSGuDsqafS4ZzLSpPTn%2BIvcxawVxNuePP9ktetlWpa%2B7REEMBx6BpFHchLdmt8GYLmjphDWBu7OqgGnup8V1asOHNKGlfKIc6DfMjSQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=44618077940&catId=50001519
갤럭시s10렌탈 갤럭시스마트폰 자급제폰 SM-G977N,"99,000원",https://cr.shopping.naver.com/adcr.nhn?x=kEB8W2A6mB%2FYAgw8lvO4pP%2F%2F%2Fw%3D%3Ds%2B0BEQP9LRK%2FedlMV0tAko7Nyk4J0WnbvKAYpCT3PBHmW1lN%2FrePuoCGjaDOC4zAfUPcks%2FC%2B0WEn1cssMe5B9f9zkO0hTbqsqO80aZG%2BiQ1T3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7smscUZuB%2FB3GA4tAdwd4kJn0E%2B7lsL8Xc%2FJzL4Vwihd8j5I3vFm7FmDqX1HzuWfn8eZUpSkoDMM7rSrpq2dCzurCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPDAuUyS9BEnMaNOvVh%2Bcss57gobr4lQ2ZSBQ5KLLVWBMV36ogsAbT2GMBHUreotiQJDaTX51BTcwd%2FnN5eyCvG6fVWgOe1KWpcrxkWI6r1Ro29i5VMw4b%2BcNSvsTaZcf6RbCU6c6Th9h1JVBUh%2BgQ%2FjRgW309NPF%2FTtg0SPZ9gS6C0jX1hAh8qnqVwILbB14S6XSZerQ%2FaYquGJsp%2BvgG1z%2B9X%2B969s2wq1wZCWrJEBlmebZ7ZSzdkaAGB0p%2BJqIW1lud3XUV3aJ8yhn1%2FIzfsWASLqec%2FNIQUv1ByDWNX2cJgKPOuSpbh11Z5jcHWhkvG9TZjqEQTAbFzUBl8432wvhVEAf6wwM5tqtSh0bB5Hx&nvMid=82201348722&catId=50001519
